Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
Facebook - CTW - Target Affluent (Image Ad) - Webinar,Facebook - CTW - Target Affluent (Image Ad) - Webinar," $1,499.90 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,0,0
Facebook - CTW - Target Affluent (Image Ad) - WWW,Facebook - CTW - Target Affluent (Image Ad) - WWW," $1,500.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0.001071811,1,1,1,1,1,0
Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30,Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30," $2,000.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0.00284495,0.653934121,1,0.45,0.626099257,0.385714286,1.147807365
Facebook - R&F - Target Affluent (Carousel Ad),Facebook - R&F - Target Affluent (Carousel Ad)," $4,000.00 ",Click,Facebook,Brand,Facebook - Brand,,Branding,Publisher,Prospect,Social,0.004752852,4.111053348,2,3.333333333,3.905939761,5.874603175,3.941941813
Facebook - Target Affluent (Clicks-To-Website Ad),Facebook - Target Affluent (Clicks-To-Website Ad)," $9,749.76 ",Click,Facebook,Tactical,Facebook - Tactical,,Acquisition,Publisher,Prospect,Social,0.004195385,7.90420327,13,7.211111111,8.196924124,7.03968254,3.568830351
FB - CTW (Carousel Ad) - AU,FB - CTW (Carousel Ad) - AU," $4,153.26 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,0,0
FB - CTW (Video Ad) Forbes Videos - AU,FB - CTW (Video Ad) Forbes Videos - AU," $19,840.74 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0.001666288,19.45784279,21,18.75,19.73374358,0,0
Business Times.com - Homepage - Expandable Super Leaderboard (>),Business Times.com - Homepage - Expandable Super Leaderboard (>), $-   ,Click,Business Times,Brand,Business Times - Brand,,Branding,Publisher,Prospect,Display,0.024390244,0.519965864,1,0.333333333,0.519965864,1,5.609023345
Criteo - Remarketing,Criteo - Remarketing," $4,474.50 ",Click,Criteo,Tactical,Criteo - Tactical,,Acquisition,Exchange,Remarket,Display,0.00539707,4.762465817,4,2.915873016,2.212533925,,
ANZ Priority Banking,DBS Wealth Always On, $44.86 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0,0,0,0,0,158.837013,76.05501997
Asset_Management,DBS Wealth Always On, $44.86 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Brand,DBS Wealth Always On, $77.48 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM,0.030327004,178.1175926,191,160.7730159,165.5980828,,
Citigold,DBS Wealth Always On," $5,269.00 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0.020408163,3.435626483,3,3.166666667,3.324839559,,
Commodity,DBS Wealth Always On, $427.21 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
DBS Treasures Credit Card,DBS Wealth Always On, $57.49 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
DBS Treasures Travel,DBS Wealth Always On, $5.71 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM,0.055555556,1,1,1,1,,
Deposit,DBS Wealth Always On, $6.14 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.005367069,63.50157745,63,60.85238095,58.75531364,,
Derivatives,DBS Wealth Always On," $5,424.38 ",Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Equity,DBS Wealth Always On, $-   ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.011363636,0.490518316,0,0.5,0.490518316,,
Forex,DBS Wealth Always On, $267.36 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Future_Trading,DBS Wealth Always On," $1,090.75 ",Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Gold,DBS Wealth Always On, $74.35 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.006379585,2.753835729,2,2.5,2.369547656,,
HSBC Premier Banking,DBS Wealth Always On," $1,168.64 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Investment,DBS Wealth Always On, $1.76 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Investment_Banking,DBS Wealth Always On, $41.02 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
KrisFlyer,DBS Wealth Always On, $2.00 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.012779553,2.886415257,3,2.833333333,2.841292474,,
OCBC Premier Banking,DBS Wealth Always On, $1.61 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0.012942192,10.47046634,11,9.658333333,9.132679417,,
Preferred_Banking,DBS Wealth Always On, $911.29 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Premier_Banking,DBS Wealth Always On, $1.38 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Premium_Banking,DBS Wealth Always On, $0.77 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Priority_Banking,DBS Wealth Always On, $15.80 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Privilege Banking UOB,DBS Wealth Always On, $9.01 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Privilege_Banking,DBS Wealth Always On, $11.56 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Product_Treasures,DBS Wealth Always On, $-   ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Facebook - CTW - Target Affluent (Image Ad) - Risk Profile (impression),Facebook - CTW - Target Affluent (Image Ad) - Risk Profile ,,Impression,Facebook,Brand,Facebook - Brand,,,Publisher,Prospect,Social,0.000331181,0.46322767,0,0.214285714,0.31897705,0,0
SCB Priority Banking,DBS Wealth Always On, $0.71 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0.0625,0.492704194,0,0.333333333,0.455657723,,
Facebook - CTW - Target Affluent (Image Ad) - Webinar (impression),Facebook - CTW - Target Affluent (Image Ad) - Webinar ,,Impression,Facebook,Brand,Facebook - Brand,,,Publisher,Prospect,Social,0.000518269,1.618933351,2,1.571428571,1.842670342,0.333333333,0
Singapore_Stock,DBS Wealth Always On, $36.18 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Facebook - CTW - Target Affluent (Image Ad) - WWW (impression),Facebook - CTW - Target Affluent (Image Ad) - WWW ,,Impression,Facebook,Brand,Facebook - Brand,,,Publisher,Prospect,Social,0,0,0,0,0,0,0
Standard Chartered Priority Banking,DBS Wealth Always On, $231.07 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0.01369863,0.458429065,0,0.5,0.458429065,,
Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30 (impression),Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30 ,,Impression,Facebook,Brand,Facebook - Brand,,,Publisher,Prospect,Social,0.000353294,2.611675919,0,1.904761905,2.505532502,0.6,1.147807365
Stock,DBS Wealth Always On, $162.60 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Facebook - R&F - Target Affluent (Carousel Ad) (impression),Facebook - R&F - Target Affluent (Carousel Ad) ,,Impression,Facebook,Brand,Facebook - Brand,,,Publisher,Prospect,Social,0.000356328,3.598446079,1,4.6,2.95538439,2.377777778,3.941941813
Stock_Market,DBS Wealth Always On, $286.90 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.001733102,1,1,1,1,,
Facebook - Target Affluent (Clicks-To-Website Ad) (impression),Facebook - Target Affluent (Clicks-To-Website Ad) ,,Impression,Facebook,Tactical,Facebook - Tactical,,,Publisher,Prospect,Social,0,0,0,0,0,0,0
Trading_Account,DBS Wealth Always On, $408.54 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.005780347,2,2,2,2,,
FB - CTW (Carousel Ad) - AU (impression),FB - CTW (Carousel Ad) - AU ,,Impression,Facebook,Brand,Facebook - Brand,,,Publisher,Prospect,Social,5.42266E-05,2.972886711,2,2.866666667,2.716433758,0,0
UOB Premier Banking,DBS Wealth Always On," $1,057.80 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
FB - CTW (Video Ad) Forbes Videos - AU (impression),FB - CTW (Video Ad) Forbes Videos - AU ,,Impression,Facebook,Brand,Facebook - Brand,,,Publisher,Prospect,Social,4.65116E-05,0.120710867,0,0.071428571,0.009125202,0,0
UOB Priority Banking,DBS Wealth Always On, $56.69 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Forbes - Bonus Ad - Billboard - (impression),Forbes - Bonus Ad - Billboard - ,,Impression,Forbes,Brand,Forbes - Brand,,,Publisher,Prospect,Display,0.000194367,4.372017829,2,4.693650794,3.217243335,,
UOB Privilege Banking,DBS Wealth Always On, $24.65 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0.035714286,3.055549914,5,3,3.055549914,,
Forbes - Bonus Ad - Half Page - (impression),Forbes - Bonus Ad - Half Page - ,,Impression,Forbes,Brand,Forbes - Brand,,,Publisher,Prospect,Display,0.000174506,6.498005354,10,7.803174603,4.236808628,,
Wealth_Management,DBS Wealth Always On, $315.67 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.005033557,1.157241824,2,0.492857143,0.593252356,,
Forbes - Bonus Ad - Leaderboard - (impression),Forbes - Bonus Ad - Leaderboard - ,,Impression,Forbes,Brand,Forbes - Brand,,,Publisher,Prospect,Display,0.000177636,0.296171684,0,0.242857143,0.588987421,,
Dianomi - Desktop,Dianomi - Desktop," $1,433.79 ",Click,Dianomi,Tactical,Dianomi - Tactical,,Acquisition,Exchange,Prospect,Native,0.003958828,3.026189476,4,2.7,2.130247909,1.833333333,3.735724708
Forbes - Bonus Ads - Videos (impression),Forbes - Bonus Ads - Videos ,,Impression,Forbes,Brand,Forbes - Brand,,,Publisher,Prospect,Display,1.77405E-05,3,3,3,3,,
Dianomi - Mobile,Dianomi - Mobile, $-   ,Click,Dianomi,Tactical,Dianomi - Tactical,,Acquisition,Exchange,Prospect,Native,0,0,0,0,0,1.2,2.142523035
Forbes - Bonus Ad - Billboard -,Forbes - Bonus Ad - Billboard -, $-   ,Click,Forbes,Brand,Forbes - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
Forbes - Bonus Ad - Half Page -,Forbes - Bonus Ad - Half Page -, $-   ,Click,Forbes,Brand,Forbes - Brand,,Branding,Publisher,Prospect,Display,0.002832861,0.379008399,0,0.166666667,0.350893075,,
Forbes - Bonus Ad - Leaderboard -,Forbes - Bonus Ad - Leaderboard -, $-   ,Click,Forbes,Brand,Forbes - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
Forbes - Bonus Ads - Videos,Forbes - Bonus Ads - Videos, $-   ,Click,Forbes,Brand,Forbes - Brand,,Content Marketing,Publisher,Prospect,Display,0,0,0,0,0,,
Google Sponsored Promotion - Target Affluent,Google Sponsored Promotion - Target Affluent, $-   ,Click,GSP,Tactical,GSP - Tactical,,Acquisition,Search,Prospect,Display,0.02832244,7.156032709,5,7.266666667,6.337581203,5.181818182,4
LinkedIn - Sponsored Content - Asian Insights - AI,LinkedIn - Sponsored Content - Asian Insights - AI, $-   ,Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social,0.108108108,3.038329834,4,2.583333333,2.719496294,,
Straits Times.com - Homepage - Launchpad ( to ) (impression),Straits Times.com - Homepage - Launchpad ( to ) ,,Impression,Straits Times,Brand,Straits Times - Brand,,,Publisher,Prospect,Display,0.000700788,7.28171856,7,8.151587302,8.215495773,2.75,1.875919947
LinkedIn - Sponsored Content - Forbes Videos - AU,LinkedIn - Sponsored Content - Forbes Videos - AU," $8,300.38 ",Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,,
LinkedIn - Sponsored Content - Offer Content - AU,LinkedIn - Sponsored Content - Offer Content - AU, $-   ,Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,,
LinkedIn - Sponsored InMail - AU,LinkedIn - Sponsored InMail - AU, $-   ,Click,LinkedIn,Brand,LinkedIn - Brand,,Content Marketing,Publisher,Prospect,Social,0.323529412,10.3181494,11,9.7,10.22232411,,
Straits Times.com - Homepage - Trans Ad - 16 May 2016 (impression),Straits Times.com - Homepage - Trans Ad ,,Impression,Straits Times,Brand,Straits Times - Brand,,,Publisher,Prospect,Display,0.000602157,9.327145715,2,6.35,7.43398763,3.430555556,0.857664329
Straits Times.com - Homepage - Trans Ad - 18 May 2016 (impression),Straits Times.com - Homepage - Trans Ad ,,Impression,Straits Times,Brand,Straits Times - Brand,,,Publisher,Prospect,Display,0.000447394,2.335502478,1,3.421428571,2.075347294,,
Straits Times.com - Homepage - Trans Ad - 19 May 2016 (impression),Straits Times.com - Homepage - Trans Ad ,,Impression,Straits Times,Brand,Straits Times - Brand,,,Publisher,Prospect,Display,0.000617109,8.512993983,8,7.592063492,8.091255027,,
OutBrain - Forbes Videos - AU,OutBrain - Forbes Videos - AU," $12,500.00 ",Click,OutBrain,Brand,OutBrain - Brand,,Content Marketing,Exchange,Prospect,Native,0.000347257,3.942469555,3,4.166666667,3.554974385,,
Straits Times.com - Homepage - Launchpad ( to ),Straits Times.com - Homepage - Launchpad ( to ), $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,0,1.875919947
Straits Times.com - Others (ST & BT ROS in Selected Sections) (impression),Straits Times.com - Others (ST & BT ROS in Selected Sections) ,,Impression,Straits Times,Brand,Straits Times - Brand,,,Publisher,Prospect,Display,0.000240147,32.97957867,20,32.14444444,33.06627552,9.963492063,3.558139487
Straits Times.com - Homepage - Trans Ad - 16 May 2016,Straits Times.com - Homepage - Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display,0.001468429,0.127105161,0,0.071428571,0.034775589,0,0.857664329
Straits Times.com - Homepage - Trans Ad - 18 May 2016,Straits Times.com - Homepage - Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
Straits Times.com - Homepage - Trans Ad - 19 May 2016,Straits Times.com - Homepage - Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
Straits Times.com - Inside Pages Mobile Trans Ad,Straits Times.com - Inside Pages Mobile Trans Ad, $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display,0.000230309,3.614273648,1,3.733333333,3.045858885,3.285714286,1.093532449
Straits Times.com - Others (ST & BT ROS in Selected Sections),Straits Times.com - Others (ST & BT ROS in Selected Sections), $-   ,Click,Straits Times,Brand,Straits Times - Brand,,Branding,Publisher,Prospect,Display,0.003325021,1.814540157,2,1.033333333,1.574289718,1.166666667,3.558139487
Twitter - Target Affluent - Forbes U30 (Multi-Image Tweet Engagement),Twitter - Target Affluent - Forbes U30 (Multi-Image Tweet Engagement), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,0,0
Twitter - Target Affluent - Webinar (Website Card),Twitter - Target Affluent - Webinar (Website Card), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social,0.083333333,1.20313866,0,1.052380952,1.509297926,1.5,0
Twitter - Target Affluent - WWW (Website Card),Twitter - Target Affluent - WWW (Website Card), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social,0.038961039,0.674391001,0,0.452380952,0.394864676,0,0
Y! Audience Ads - IP SG (impression),Y! Audience Ads - IP SG ,,Impression,Yahoo!,Brand,Yahoo! - Brand,,,Exchange,Prospect,Display,6.18358E-05,34.9243283,22,34.25753968,30.07704177,14.1984127,2.205949817
Twitter - Target Affluent (Website Card),Twitter - Target Affluent (Website Card), $-   ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social,0.011839709,6.38348506,9,6.516666667,6.771988108,4.2,4.226452305
Y! Audience Ads - IP SG Interest Target Finance (impression),Y! Audience Ads - IP SG Interest Target Finance ,,Impression,Yahoo!,Brand,Yahoo! - Brand ,,,Exchange,Prospect,Display,8.81091E-05,47.35169941,39,53.24206349,46.19037833,15.65079365,7.66241255
Twitter (Video Card) - Forbes Videos - AU,Twitter (Video Card) - Forbes Videos - AU," $3,063.70 ",Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social,1,1.18137056,3,0.6,0.81174939,1.5,0
Yahoo - Content Page - Offer Content - - AU (impression),Yahoo - Content Page - Offer Content - - AU ,,Impression,Yahoo!,Brand,Yahoo! - Brand,,,Publisher,Prospect,Native,0.000705053,0.307206387,0,0.452380952,0.179058501,,
Twitter (Website Card) - Asian Insights - AI,Twitter (Website Card) - Asian Insights - AI, $50.24 ,Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,,
Twitter (Website Card) - Offer Content - AU,Twitter (Website Card) - Offer Content - AU," $1,623.47 ",Click,Twitter,Brand,Twitter - Brand,,Content Marketing,Publisher,Prospect,Social,0.003067485,1,1,1,1,0,0
Y! Audience Ads - IP SG,Y! Audience Ads - IP SG, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Branding,Exchange,Prospect,Display,0,0,0,0,0,0.2,2.205949817
Y! Audience Ads - IP SG Interest Target Finance,Y! Audience Ads - IP SG Interest Target Finance, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Branding,Exchange,Prospect,Display,0.001023803,1.614664504,1,1.015873016,1.300743138,1.166666667,7.66241255
Yahoo - Content Page - Offer Content - - AU,Yahoo - Content Page - Offer Content - - AU, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native,0.05,0.443143329,0,0.452380952,0.258896973,,
Yahoo - Stream Ads - General Targeting (impression),Yahoo - Stream Ads - General Targeting ,,Impression,Yahoo!,Tactical,Yahoo! - Tactical,,,Publisher,Prospect,Native,4.05759E-05,55.53197908,52,74.07222222,59.90979228,20.21150794,5.610352153
Yahoo - Stream Ads - General Targeting,Yahoo - Stream Ads - General Targeting," $4,461.81 ",Click,Yahoo!,Tactical,Yahoo! - Tactical,,Acquisition,Search,Prospect,Native,0.000365851,20.15009731,27,17.94325397,16.46624264,9.4,5.610352153
Yahoo - Stream Ads - Retargeting (impression),Yahoo - Stream Ads - Retargeting ,,Impression,Yahoo!,Tactical,Yahoo! - Tactical,,,Publisher,Remarket,Native,0.000186417,23.91224128,42,29.34603175,29.97633116,5.50515873,4.64718692
Yahoo - Stream Ads - Retargeting,Yahoo - Stream Ads - Retargeting," $2,808.78 ",Click,Yahoo!,Tactical,Yahoo! - Tactical,,Acquisition,Search,Remarket,Native,0.002458068,8.275465538,7,6.071031746,4.98854745,3.430555556,4.64718692
Yahoo SG Finance ROS (Age 30-49) - Billboard (impression),Yahoo SG Finance ROS (Age 30-49) - Billboard ,,Impression,Yahoo!,Brand,Yahoo! - Brand,,,Publisher,Prospect,Display,0.000242225,10.83657299,3,8.594444444,10.46631567,2.728968254,0.913584598
Yahoo SG Finance ROS (Age 30-49) - Billboard,Yahoo SG Finance ROS (Age 30-49) - Billboard, $-   ,Click,Yahoo!,Brand,Yahoo! - Brand,,Branding,Publisher,Prospect,Display,0.001763668,0.587990251,0,0.416666667,0.270172605,0.533333333,0.913584598
AOD - PMP-PG - WSJ - Front Page Platinum Buyout ATF (Sponsorship),," $6,401.74 ",,,,,,,,,,,,,,,,
